roadRouteNm,roadKnd,la,lo,sgngnrInstlMthdSe,tfclghtSe,tfclghtOrdr,tfclghtHr,signlHrDcsnMthdSe,mngInstNm,telno,flasherOperBgngTm,flasherOperEndTm
보듬8로,시도,36.518168,127.262158,3,1,녹색+녹색화살표+황색+적색,40+20+3+77,1,세종시청,044-300-5536,0:00,0:00
보듬8로,시도,36.517963,127.261958,3,1,녹색+녹색화살표+황색+적색,40+20+3+77,1,세종시청,044-300-5536,0:00,0:00
보듬8로,시도,36.517976,127.262229,3,1,녹색/녹색화살표+황색+적색,40+3+97,1,세종시청,044-300-5536,0:00,0:00
보듬8로,시도,36.518137,127.261915,3,1,녹색/녹색화살표+황색+적색,40+3+97,1,세종시청,044-300-5536,0:00,0:00
보듬6로,시도,36.516102,127.262639,3,1,녹색+녹색화살표+황색+적색,30+20+3+47,1,세종시청,044-300-5536,0:00,0:00
보듬6로,시도,36.516005,127.262532,3,1,녹색+녹색화살표+황색+적색,30+20+3+47,1,세종시청,044-300-5536,0:00,0:00
보듬6로,시도,36.516001,127.262655,3,1,녹색/녹색화살표+황색+적색,25+3+72,1,세종시청,044-300-5536,0:00,0:00
보듬6로,시도,36.516113,127.262505,3,1,녹색/녹색화살표+황색+적색,25+3+72,1,세종시청,044-300-5536,0:00,0:00
가름로,시도,36.499225,127.249509,3,1,녹색/녹색화살표+황색+적색,45+3+112,1,세종시청,044-300-5536,0:00,0:00
가름로,시도,36.499255,127.249028,3,1,녹색/녹색화살표+황색+적색,45+3+112,1,세종시청,044-300-5536,0:00,0:00
가름로,시도,36.499139,127.249013,3,1,녹색/녹색화살표+황색+적색,45+3+112,1,세종시청,044-300-5536,0:00,0:00
가름로,시도,36.4991,127.249485,3,1,녹색/녹색화살표+황색+적색,45+3+112,1,세종시청,044-300-5536,0:00,0:00
가름로,시도,36.499005,127.249253,3,1,녹색/녹색화살표+황색+적색,35+3+122,1,세종시청,044-300-5536,0:00,0:00
가름로,시도,36.499422,127.249345,3,1,녹색/녹색화살표+황색+적색,35+3+122,1,세종시청,044-300-5536,0:00,0:00
가름로,시도,36.49942,127.249194,3,1,녹색/녹색화살표+황색+적색,35+3+122,1,세종시청,044-300-5536,0:00,0:00
가름로,시도,36.499008,127.249117,3,1,녹색/녹색화살표+황색+적색,35+3+122,1,세종시청,044-300-5536,0:00,0:00
달빛로,시도,36.509637,127.249731,3,1,녹색화살표+황색+적색,32+3+85,1,세종시청,044-300-5536,0:00,0:00
달빛로,시도,36.509424,127.249969,3,1,녹색+황색+적색,73+3+43,1,세종시청,044-300-5536,0:00,0:00
달빛로,시도,36.509622,127.249982,3,1,녹색+황색+적색,73+3+43,1,세종시청,044-300-5536,0:00,0:00
달빛로,시도,36.509637,127.249731,3,1,녹색+녹색/녹색화살표+황색+적색,73+15+3+29,1,세종시청,044-300-5536,0:00,0:00
달빛1로,시도,36.514919,127.245778,3,1,녹색+황색+적색,72+3+45,1,세종시청,044-300-5536,0:00,0:00
달빛1로,시도,36.514874,127.245774,3,1,녹색화살표+황색+적색,24+3+93,1,세종시청,044-300-5536,0:00,0:00
달빛1로,시도,36.514965,127.245616,3,1,녹색+녹색화살표+황색+적색,72+24+3+21,1,세종시청,044-300-5536,0:00,0:00
달빛1로,시도,36.514687,127.24568,3,1,녹색+녹색화살표+황색+적색,72+24+3+21,1,세종시청,044-300-5536,0:00,0:00
세종로,시도,36.517363,127.24154,3,1,녹색화살표+황색+적색,29+3+128,1,세종시청,044-300-5536,0:00,0:00
세종로,시도,36.517483,127.241966,3,1,녹색화살표+황색+적색,29+3+128,1,세종시청,044-300-5536,0:00,0:00
세종로,시도,36.517355,127.241918,3,1,녹색화살표+녹색+황색+적색,29+102+3+26,1,세종시청,044-300-5536,0:00,0:00
세종로,시도,36.517504,127.241582,3,1,녹색+황색+적색,102+3+55,1,세종시청,044-300-5536,0:00,0:00
마음로,시도,36.504294,127.235268,3,1,녹색+황색+적색,95+3+22,1,세종시청,044-300-5536,0:00,0:00
마음로,시도,36.504173,127.235147,3,1,녹색+황색+적색,95+3+22,1,세종시청,044-300-5536,0:00,0:00
나리로,시도,36.478617,127.26178,3,1,녹색+황색+적색,103+3+54,1,세종시청,044-300-5536,0:00,0:00
나리로,시도,36.478439,127.261494,3,1,녹색+황색+적색,103+3+54,1,세종시청,044-300-5536,0:00,0:00
나리로,시도,36.478202,127.2617,3,1,녹색/녹색화살표+황색+적색,25+103+3+29,1,세종시청,044-300-5536,0:00,0:00
나리로,시도,36.478389,127.261997,3,1,녹색/녹색화살표+황색+적색,25+103+3+29,1,세종시청,044-300-5536,0:00,0:00
나리로,시도,36.478389,127.261997,3,1,녹색화살표+황색+적색,32+3+125,1,세종시청,044-300-5536,0:00,0:00
나리로,시도,36.478389,127.261997,3,1,녹색화살표+황색+적색,32+3+125,1,세종시청,044-300-5536,0:00,0:00
누리로,시도,36.475454,127.252495,3,1,녹색/녹색화살표+황색+적색,20+3+97,1,세종시청,044-300-5536,0:00,0:00
누리로,시도,36.47552,127.252693,3,1,녹색/녹색화살표+황색+적색,20+3+97,1,세종시청,044-300-5536,0:00,0:00
누리로,시도,36.475577,127.25256,3,1,녹색/녹색화살표+황색+적색,40+3+77,1,세종시청,044-300-5536,0:00,0:00
누리로,시도,36.47541,127.252617,3,1,녹색/녹색화살표+황색+적색,40+3+77,1,세종시청,044-300-5536,0:00,0:00
누리로,시도,36.480068,127.25257,3,1,녹색+황색+적색,92+3+25,1,세종시청,044-300-5536,0:00,0:00
누리로,시도,36.480176,127.252463,3,1,녹색+황색+적색,92+3+25,1,세종시청,044-300-5536,0:00,0:00
어울로,시도,36.480752,127.250608,3,1,녹색+녹색화살표+황색+적색,36+20+3+61,1,세종시청,044-300-5536,0:00,0:00
어울로,시도,36.480706,127.250453,3,1,녹색+녹색화살표+황색+적색,36+20+3+61,1,세종시청,044-300-5536,0:00,0:00
어울로,시도,36.480594,127.250461,3,1,녹색+녹색화살표+황색+적색,36+20+3+61,1,세종시청,044-300-5536,0:00,0:00
어울로,시도,36.48065,127.250642,3,1,녹색+녹색화살표+황색+적색,36+20+3+61,1,세종시청,044-300-5536,0:00,0:00
어울로,시도,36.480616,127.25062,3,1,녹색/녹색화살표+황색+적색,32+3+85,1,세종시청,044-300-5536,0:00,0:00
어울로,시도,36.480773,127.250579,3,1,녹색/녹색화살표+황색+적색,32+3+85,1,세종시청,044-300-5536,0:00,0:00
어울로,시도,36.480749,127.250477,3,1,녹색/녹색화살표+황색+적색,32+3+85,1,세종시청,044-300-5536,0:00,0:00
어울로,시도,36.480583,127.250501,3,1,녹색/녹색화살표+황색+적색,32+3+85,1,세종시청,044-300-5536,0:00,0:00
장기로,시도,36.498952,127.225965,3,1,녹색화살표+녹색+황색+적색,33+102+3+22,1,세종시청,044-300-5536,0:00,0:00
장기로,시도,36.498939,127.225798,3,1,녹색화살표+녹색+황색+적색,33+102+3+22,1,세종시청,044-300-5536,0:00,0:00
장기로,시도,36.498798,127.225742,3,1,녹색+황색+적색,102+3+124,1,세종시청,044-300-5536,0:00,0:00
장기로,시도,36.498807,127.225996,3,1,녹색+황색+적색,102+3+124,1,세종시청,044-300-5536,0:00,0:00
장기로,시도,36.498807,127.225996,3,1,녹색화살표+황색+적색,25+3+132,1,세종시청,044-300-5536,0:00,0:00
장기로,시도,36.498952,127.225965,3,1,녹색화살표+황색+적색,25+3+132,1,세종시청,044-300-5536,0:00,0:00
오봉로,시도,36.604436,127.278719,3,1,녹색화살표+녹색+황색+적색,13+64+3+20,1,세종시청,044-300-5536,0:00,0:00
오봉로,시도,36.604346,127.278632,3,1,녹색화살표+녹색+황색+적색,13+64+3+20,1,세종시청,044-300-5536,0:00,0:00
오봉로,시도,36.604279,127.278735,3,1,녹색+황색+적색,64+3+33,1,세종시청,044-300-5536,0:00,0:00
오봉로,시도,36.604359,127.278818,3,1,녹색+황색+적색,64+3+33,1,세종시청,044-300-5536,0:00,0:00
오봉로,시도,36.604322,127.278809,3,1,녹색화살표+황색+적색,23+3+74,1,세종시청,044-300-5536,0:00,0:00
오봉로,시도,36.604346,127.278632,3,1,녹색화살표+황색+적색,23+3+74,1,세종시청,044-300-5536,0:00,0:00
왕의물로,시도,36.699499,127.210081,3,1,녹색화살표+황색+적색,20+3+127,1,세종시청,044-300-5536,0:00,0:00
왕의물로,시도,36.699338,127.210085,3,1,녹색화살표+황색+적색,30+3+117,1,세종시청,044-300-5536,0:00,0:00
왕의물로,시도,36.699368,127.21031,3,1,녹색화살표+황색+적색,30+3+117,1,세종시청,044-300-5536,0:00,0:00
왕의물로,시도,36.699368,127.21031,3,1,녹색+녹색화살표+황색+적색,80+20+3+47,1,세종시청,044-300-5536,0:00,0:00
왕의물로,시도,36.699844,127.210286,3,1,녹색+녹색화살표+황색+적색,80+20+3+47,1,세종시청,044-300-5536,0:00,0:00
왕의물로,시도,36.699499,127.210081,3,1,녹색+녹색화살표+황색+적색,80+20+3+47,1,세종시청,044-300-5536,0:00,0:00
왕의물로,시도,36.699338,127.210085,3,1,녹색+녹색화살표+황색+적색,80+20+3+47,1,세종시청,044-300-5536,0:00,0:00
왕의물로,시도,36.689361,127.20529,3,1,녹색화살표+황색+적색,20+3+127,1,세종시청,044-300-5536,0:00,0:00
왕의물로,시도,36.689357,127.205127,3,1,녹색화살표+황색+적색,20+3+127,1,세종시청,044-300-5536,0:00,0:00
왕의물로,시도,36.689258,127.205147,3,1,녹색화살표+황색+적색,33+3+114,1,세종시청,044-300-5536,0:00,0:00
왕의물로,시도,36.689255,127.205301,3,1,녹색화살표+황색+적색,33+3+114,1,세종시청,044-300-5536,0:00,0:00
왕의물로,시도,36.689255,127.205301,3,1,녹색+녹색화살표+황색+적색,77+20+3+50,1,세종시청,044-300-5536,0:00,0:00
왕의물로,시도,36.689361,127.20529,3,1,녹색+녹색화살표+황색+적색,77+20+3+50,1,세종시청,044-300-5536,0:00,0:00
왕의물로,시도,36.689357,127.205127,3,1,녹색+녹색화살표+황색+적색,77+20+3+50,1,세종시청,044-300-5536,0:00,0:00
왕의물로,시도,36.689258,127.205147,3,1,녹색+녹색화살표+황색+적색,77+20+3+50,1,세종시청,044-300-5536,0:00,0:00
내판로,시도,36.548143,127.325334,3,1,녹색화살표+황색+적색,20+3+97,1,세종시청,044-300-5536,0:00,0:00
내판로,시도,36.548264,127.325104,3,1,녹색화살표+황색+적색,20+3+97,1,세종시청,044-300-5536,0:00,0:00
내판로,시도,36.548196,127.324953,3,1,녹색화살표+황색+적색,35+3+82,1,세종시청,044-300-5536,0:00,0:00
내판로,시도,36.54815,127.325194,3,1,녹색화살표+황색+적색,35+3+82,1,세종시청,044-300-5536,0:00,0:00
내판로,시도,36.548121,127.325123,3,1,녹색+녹색화살표+황색+적색,45+20+3+52,1,세종시청,044-300-5536,0:00,0:00
내판로,시도,36.548202,127.325278,3,1,녹색+녹색화살표+황색+적색,45+20+3+52,1,세종시청,044-300-5536,0:00,0:00
내판로,시도,36.548264,127.325155,3,1,녹색+녹색화살표+황색+적색,45+20+3+52,1,세종시청,044-300-5536,0:00,0:00
내판로,시도,36.548175,127.324977,3,1,녹색+녹색화살표+황색+적색,45+20+3+52,1,세종시청,044-300-5536,0:00,0:00
다정남로,시도,36.49512,127.249115,3,1,녹색+황색+적색,97+3+20,1,세종시청,044-300-5536,0:00,0:00
다정남로,시도,36.4952,127.247851,3,1,녹색+황색+적색,97+3+20,1,세종시청,044-300-5536,0:00,0:00
